30;40
408;17;97
409;23;96
410;9;24
411;6;18
412;24;76
413;3;0
414;8;54
415;7;63
416;23;34
417;17;30
418;15;98
419;17;9
420;9;68
421;20;95
422;13;98
423;13;62
424;12;65
425;14;79
426;24;93
427;13;92
428;13;41
429;10;15
430;5;100
431;1;93
432;21;21
433;21;77
434;16;30
435;24;74
436;11;48
437;19;94
438;7;68
439;16;8
440;9;54
441;3;61
442;5;75
443;6;62
444;14;25
445;9;48
446;22;69
447;14;17
448;16;57
449;23;17
450;23;42
451;3;16
452;19;5
453;24;59
454;9;16
455;4;21
456;17;38
457;11;41
458;10;33
459;7;60
460;18;47
461;16;13
462;1;68
463;23;41
464;13;31
465;11;77
466;10;97
467;7;88
468;20;25
469;3;91
470;1;48
471;14;9
472;18;76
473;15;55
474;3;68
475;6;42
476;3;59
477;24;54
478;11;79
479;10;8
480;16;95
481;6;8
482;5;7
483;14;46
484;22;68
485;17;82
486;21;51
487;19;37
488;14;86
489;8;85
490;7;59
491;5;0
492;17;41
493;5;2
494;10;72
495;16;66
496;7;97
497;19;19
498;17;32
499;22;17
500;3;64
501;14;49
502;1;41
503;20;37
504;5;27
505;10;2
506;13;38
507;17;22
508;4;67
509;22;95
510;23;70
511;11;13
512;14;85
513;10;60
514;21;85
515;6;64
516;24;56
517;2;35
518;15;11
519;9;75
520;15;26
521;16;31
522;8;93
523;6;99
524;19;18
525;6;50
526;2;5
527;23;62
528;11;87
529;23;73
530;14;81
531;18;82
532;9;22
533;2;56
534;9;58
535;22;59
536;7;82
537;5;70
538;10;26
539;19;22
540;22;33
541;14;73
542;12;80
543;14;29
544;14;78
545;3;8
546;8;80
547;9;94
548;5;83
549;1;59
550;10;50
551;21;19
552;19;29
553;12;17
554;6;22
555;24;74
556;18;95
557;16;47
558;24;63
559;9;55
560;12;72
561;4;13
562;2;44
563;10;23
564;1;93
565;14;64
566;5;62
567;17;46
568;12;22
569;17;2
570;17;42
571;21;84
572;11;53
573;16;92
574;14;13
575;15;20
576;17;9
577;2;69
578;10;85
579;3;96
580;19;71
581;13;38
582;4;33
583;9;12
584;17;44
585;21;79
586;8;64
587;6;36
588;2;98
589;5;49
590;10;38
591;11;56
592;23;56
593;13;83
594;22;34
595;9;56
596;1;92
597;23;18
598;16;60
599;5;67
600;18;79
601;17;8
602;14;88
603;19;98
604;10;65
605;10;3
606;12;72
607;21;90
608;22;87
609;1;37
610;22;71
611;20;80
612;15;49
613;12;36
614;4;59
615;15;55
616;15;74
617;8;4
618;18;97
619;15;74
620;23;33
621;21;5
622;9;68
623;2;76
624;21;2
625;10;37
626;17;86
627;14;45
628;15;29
629;13;29
630;20;7
631;24;58
632;9;35
633;8;60
634;5;84
635;23;69
636;13;24
637;12;19
638;21;25
639;5;2
640;21;87
641;23;57
642;6;75
643;6;90
644;20;51
645;8;11
646;15;54
647;4;34
648;13;77
649;2;18
650;11;3
651;21;23
652;13;53
653;5;52
654;7;98
655;8;23
656;19;57
657;13;67
658;5;96
659;10;75
660;16;78
661;7;70
662;17;57
663;17;54
664;17;84
665;18;47
666;9;25
667;12;25
668;12;69
669;6;69
670;8;12
671;24;76
672;3;17
673;23;18
674;17;59
675;22;45
676;7;13
677;10;98
678;4;0
679;14;18
680;11;29
681;20;65
682;24;33
683;1;84
684;11;12
685;23;62
686;14;85
687;22;70
688;21;44
689;20;5
690;13;23
691;21;82
692;23;41
693;22;58
694;15;91
695;3;37
696;21;67
697;1;87
698;3;31
699;3;50
700;18;74
701;17;85
702;22;83
703;7;89
704;6;43
705;19;57
706;17;13
707;1;57
708;13;56
709;11;48
710;16;74
711;22;65
712;1;11
713;8;52
714;15;19
715;5;82
716;2;60
717;2;79
718;20;9
719;9;79
720;13;36
721;4;36
722;8;43
723;24;67
724;3;40
725;8;18
726;12;95
727;19;41
728;10;42
729;13;24
730;1;84
731;14;17
732;19;99
733;23;69
734;15;43
735;5;59
736;2;40
737;11;84
738;19;26
739;15;43
740;9;49
741;9;72
742;9;51
743;18;21
744;8;33
745;16;10
746;14;58
747;1;22
748;2;80
749;3;56
750;6;28
751;9;91
752;21;91
753;2;21
754;13;24
755;13;94
756;17;76
757;12;50
758;5;52
759;20;37
760;9;27
761;16;30
762;3;3
763;11;17
764;9;42
765;21;4
766;20;47
767;3;36
768;13;10
769;24;98
770;22;57
771;5;38
772;11;67
773;8;3
774;10;66
775;23;84
776;14;59
777;1;54
778;11;37
779;19;69
780;13;93
781;9;78
782;14;39
783;15;14
784;16;67
785;14;42
786;12;52
787;3;73
788;16;60
789;3;64
790;18;98
791;2;62
792;17;29
793;23;98
794;2;36
795;16;15
796;15;74
797;11;32
798;18;92
799;22;7
800;9;30
801;6;25
802;16;0
803;3;28
804;8;45
805;23;6
806;19;79
807;19;36
808;18;82
809;8;58
810;20;49
811;7;14
812;3;6
813;3;22
814;19;80
815;19;25
816;2;34
817;16;72
818;4;51
819;13;59
820;18;47
821;10;16
822;7;78
823;23;10
824;3;66
825;14;73
826;14;25
827;24;69
828;19;14
829;9;25
830;13;34
831;23;31
832;23;48
833;2;2
834;6;9
835;10;89
836;16;38
837;14;96
838;7;7
839;7;37
840;22;30
841;21;51
842;10;85
843;15;0
844;17;35
845;15;28
846;9;81
847;24;13
848;7;48
849;12;51
850;22;78
851;5;0
852;7;59
853;21;17
854;5;6
855;17;56
856;14;53
857;5;70
858;1;41
859;22;79
860;3;44
861;5;66
862;19;32
863;23;33
864;17;16
865;17;24
866;9;27
867;24;4
868;7;96
869;19;36
870;22;20
871;15;31
872;6;96
873;1;5
874;11;37
875;8;75
876;16;31
877;24;0
878;19;90
879;11;12
880;13;35
881;21;73
882;12;24
883;7;22
884;8;17
885;16;72
886;20;67
887;18;88
888;1;59
889;24;90
890;19;54
891;22;100
892;16;7
893;8;59
894;11;91
895;3;41
896;24;37
897;10;70
898;11;27
899;19;62
900;24;41
901;18;19
902;2;91
903;19;10
904;4;64
905;21;28
906;2;79
907;10;21
908;19;15
909;15;29
910;7;34
911;14;47
912;17;79
913;7;44
914;14;45
915;22;18
916;24;63
917;19;5
918;24;51
919;10;71
920;2;50
921;6;90
922;18;51
923;15;71
924;3;59
925;20;56
926;23;76
927;12;78
928;24;90
929;15;63
930;22;22
931;2;59
932;17;82
933;22;16
934;4;86
935;4;45
936;23;74
937;1;14
938;12;64
939;19;49
940;9;5
941;22;40
942;11;61
943;20;63
944;20;13
945;23;83
946;3;15
947;6;7
948;20;32
949;16;65
950;20;57
951;20;66
952;12;36
953;16;60
954;21;72
955;23;33
956;17;14
957;6;32
958;16;45
959;10;0
960;16;100
961;14;56
962;13;56
963;18;77
964;23;14
965;13;75
966;4;95
967;3;91
968;5;28
969;2;92
970;22;35
971;18;64
972;9;85
973;16;60
974;21;100
975;3;95
976;5;38
977;18;36
978;12;55
979;18;18
980;22;7
981;14;10
982;6;71
983;8;18
984;7;53
985;22;31
986;20;27
987;17;13
988;19;41
989;14;23
990;9;32
991;12;62
992;1;70
993;10;39
994;1;30
995;22;99
996;10;69
997;6;46
998;11;58
999;24;39
1000;4;97
